accuracy,inducer,response_time,subject_nr,valid
0,-1,554.6554999994114,3,-1
0,-1,579.2687000017613,3,1
1,-1,523.2091999994591,3,1
1,-1,700.4681000001729,3,1
0,-1,623.6996999997646,3,-1
1,-1,677.0020000003278,3,1
0,-1,612.9446000009775,3,1
0,-1,538.21259999834,3,1
0,-1,539.5052999993786,3,-1
1,-1,684.7211999995634,3,1
0,-1,712.7081000003964,3,-1
0,-1,1203.3344999998808,3,-1
0,-1,691.856600000523,3,-1
1,-1,633.148799999617,3,1
1,-1,865.0806999998167,3,1
1,-1,1037.0297000007704,3,-1
1,-1,618.1724000023678,3,-1
0,-1,666.7323000002652,3,1
1,-1,592.0005000010133,3,1
0,-1,679.2746999999508,3,1
0,-1,1080.3426000019535,2,-1
1,-1,636.2692000004463,2,1
1,-1,1226.201999997953,2,-1
1,-1,816.1653999995906,2,1
1,-1,1453.4161999982316,2,-1
1,-1,1811.3761999993585,2,1
1,-1,593.3196000005119,2,1
1,-1,721.2437999988906,2,-1
1,-1,1244.5251999998,2,-1
1,-1,857.0814999984577,2,1
1,-1,805.0875000008382,2,1
1,-1,814.9957999994513,2,-1
0,-1,1870.235099999234,2,-1
0,-1,840.1948999997694,2,1
0,-1,2000.0537000014447,2,-1
1,-1,845.3789000012912,2,-1
1,-1,586.6600999978837,2,1
1,-1,689.9530000009108,2,1
1,-1,509.89670000132173,2,1
1,-1,909.1684000014793,2,1
1,-1,665.1277999992017,2,1
1,-1,550.3800000005867,2,1
0,-1,694.947700001765,2,-1
1,-1,554.2829000006896,2,1
1,-1,782.826700000558,2,1
1,-1,702.1494000002276,2,1
1,-1,792.7371000004932,2,-1
1,-1,627.9443999992218,2,1
1,-1,1010.6190000006463,2,1
0,-1,760.5551000016276,2,-1
0,-1,632.511100000469,2,1
1,-1,846.4545999995898,2,1
1,-1,699.0895999989007,2,-1
1,-1,542.3453999974299,2,1
1,-1,695.6107000005431,2,1
0,-1,462.86800000211224,2,1
0,-1,883.4333000015467,2,1
1,-1,662.0791000023019,2,1
1,-1,706.0019999989308,2,1
1,-1,899.280299999984,2,1
1,-1,1070.5976999998093,2,1
0,-1,771.1748000001535,2,1
1,-1,403.78770000091754,2,1
0,-1,733.7287000007927,2,1
1,-1,631.0197000021581,2,1
0,-1,669.6148000010289,2,1
1,-1,675.56369999866,2,-1
1,-1,712.816600000253,2,1
1,-1,1210.7297999972943,2,1
0,-1,902.6733999999706,2,1
1,-1,706.549000002211,2,1
0,-1,697.9455999971833,2,1
1,-1,1333.7970000030473,2,-1
1,-1,711.742799998261,2,1
1,-1,682.3050000020303,2,1
1,-1,490.31660000025295,2,1
1,-1,589.5431999999564,2,1
1,-1,525.5058000001591,2,1
1,-1,917.4270000003744,2,-1
1,-1,718.7128000003286,2,1
0,-1,1062.024300001096,2,1
1,-1,386.60330000147223,2,1
1,-1,827.1886000002269,2,-1
1,-1,643.1846000014339,2,1
0,-1,655.713300002506,2,1
0,-1,437.0271000007633,2,1
0,-1,738.9851000008639,2,1
1,-1,781.5510000002105,2,1
1,-1,468.82580000231974,2,1
0,-1,766.1140000016894,2,1
1,-1,701.3736000007484,2,1
0,-1,615.9855000004172,2,1
1,-1,589.9480999978259,2,1
1,-1,812.5261999994982,2,-1
0,-1,530.4106000002939,2,1
1,-1,524.4044999997132,2,1
1,-1,502.34420000202954,2,1
0,-1,561.6057000006549,2,1
1,-1,514.2477000008803,2,1
1,-1,634.8103000018746,2,-1
0,-1,809.4669999992475,2,1
1,-1,590.0298000015318,2,1
0,-1,705.3273999989033,2,1
1,-1,484.59139999980107,2,1
1,-1,632.5544999998529,2,-1
